Market,Date,Open_Pred,Open_Act,Close_Pred,Close_Act,Jodi_Pred,Jodi_Act,Open_Match,Close_Match,Jodi_Match,Patti_Match,Model
Time Bazar,19/05/2025,"5,3",Pending,"2,6",Pending,"53,54,52,56,63,57,51,33,59,23",Pending,Pending,Pending,Pending,Pending,N/A
Milan Day,19/05/2025,"1,3",Pending,"2,4",Pending,"31,41,21,32,30,33,51,11,61,37",Pending,Pending,Pending,Pending,Pending,N/A
Rajdhani Day,19/05/2025,"2,7",Pending,"3,5",Pending,"72,52,62,82,32,22,42,92,73,77",Pending,Pending,Pending,Pending,Pending,N/A
Kalyan,19/05/2025,"3,8",Pending,"7,2",Pending,"83,73,63,82,93,87,84,43,33,23",Pending,Pending,Pending,Pending,Pending,N/A
Milan Night,19/05/2025,"4,7",Pending,"6,2",Pending,"74,84,64,24,72,73,34,94,71,76",Pending,Pending,Pending,Pending,Pending,N/A
Rajdhani Night,19/05/2025,"9,8",Pending,"7,6",Pending,"98,99,78,97,88,96,77,68,87,95",Pending,Pending,Pending,Pending,Pending,N/A
Main Bazar,19/05/2025,"1,7",Pending,"5,8",Pending,"71,81,72,61,51,70,91,73,41,75",Pending,Pending,Pending,Pending,Pending,N/A
Time Bazar,20/05/2025,"5,3",123,"2,6",458,"53,54,52,56,63,57,51,33,59,23",67,False,False,False,False,N/A
Milan Day,20/05/2025,"1,3",380,"2,4",345,"31,41,21,32,30,33,51,11,61,37",12,False,False,False,False,N/A
Rajdhani Day,20/05/2025,"2,7",238,"3,5",160,"72,52,62,82,32,22,42,92,73,77",37,False,False,False,False,N/A
Kalyan,20/05/2025,"3,8",190,"7,2",145,"83,73,63,82,93,87,84,43,33,23",00,False,False,False,False,N/A
Time Bazar,20/05/2025,"5,3",123,"2,6",458,"53,54,52,56,63,57,51,33,59,23",67,False,False,False,False,N/A
Milan Day,20/05/2025,"1,3",380,"2,4",345,"31,41,21,32,30,33,51,11,61,37",12,False,False,False,False,N/A
Rajdhani Day,20/05/2025,"2,7",238,"3,5",160,"72,52,62,82,32,22,42,92,73,77",37,False,False,False,False,N/A
Kalyan,20/05/2025,"3,8",190,"7,2",145,"83,73,63,82,93,87,84,43,33,23",00,False,False,False,False,N/A
Time Bazar,20/05/2025,"5,3",123,"2,6",458,"53,54,52,56,63,57,51,33,59,23",67,False,False,False,False,N/A
Milan Day,20/05/2025,"1,3",380,"2,4",345,"31,41,21,32,30,33,51,11,61,37",12,False,False,False,False,N/A
Rajdhani Day,20/05/2025,"2,7",238,"3,5",160,"72,52,62,82,32,22,42,92,73,77",37,False,False,False,False,N/A
Kalyan,20/05/2025,"3,8",190,"7,2",145,"83,73,63,82,93,87,84,43,33,23",0,False,False,False,False,N/A
Time Bazar,20/05/2025,"5,3",123,"2,6",458,"53,54,52,56,63,57,51,33,59,23",67,False,False,False,False,N/A
Milan Day,20/05/2025,"1,3",380,"2,4",345,"31,41,21,32,30,33,51,11,61,37",12,False,False,False,False,N/A
Rajdhani Day,20/05/2025,"2,7",238,"3,5",160,"72,52,62,82,32,22,42,92,73,77",37,False,False,False,False,N/A
Kalyan,20/05/2025,"3,8",190,"7,2",145,"83,73,63,82,93,87,84,43,33,23",0,False,False,False,False,N/A
Time Bazar,20/05/2025,"5,3",123,"2,6",458,"53,54,52,56,63,57,51,33,59,23",67,False,False,False,False,N/A
